Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","216","Thaïlande","5511","Production","2532","Manioc","2013","2013","Milliers de tonnes","30228","S","Données standardisées"
"FBS","Bilans Alimentaires","216","Thaïlande","5911","Exportations - Quantité","2532","Manioc","2013","2013","Milliers de tonnes","25214","S","Données standardisées"
