Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2605","Légumes, Autres","2013","2013","Milliers de tonnes","885","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2611","Oranges, Mandarines","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2611","Oranges, Mandarines","2013","2013","Milliers de tonnes","145","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2614","Agrumes, Autres","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2614","Agrumes, Autres","2013","2013","Milliers de tonnes","39","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2615","Bananes","2013","2013","Milliers de tonnes","82","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2617","Pommes","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2617","Pommes","2013","2013","Milliers de tonnes","68","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2618","Ananas","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2619","Dattes","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2620","Raisin","2013","2013","Milliers de tonnes","31","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2620","Raisin","2013","2013","Milliers de tonnes","483","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2625","Fruits, Autres","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2625","Fruits, Autres","2013","2013","Milliers de tonnes","223","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2630","Café","2013","2013","Milliers de tonnes","0","S","Données standardisées"
